<위대한 모험가를 꿈꾸는>,웅장한 나팔소리와 함께 한 사람이 단상으로 올라갔다. \n그 사람은 왕의 앞에 천천히 무릎을 꿇었다. \n"자네의 모험을 온 국민이 기억할걸세. 모두 보아라! 이 자가 이 나라의 영웅이다!"\n\n왕의 외침과 함께 관중들의 환호가 터져나왔다. 당신은 그날부터 아버지의 밭을 이어받는게 아니라 명예로운 모험가가 되겠다는 꿈을 꾸었다.\n몇 년의 세월이 흘렀지만 그 기억은 여전히 당신에게 남아 모험을 떠나도록 만들었다.,START,◈ 모험시작,END,START,RANDOM,END,ITEMSTART,대거,라운드 실드,패드 아머,ITEMEND,10,1,50,FALSE,NULL,NONE,0,,
<밤하늘을 바라보았다.>,당신은 야영을 하며 모닥불을 피우다 문득 밤하늘을 바라보았다. 고급스러운 검은색 드레스에 반짝거리는 보석을 수놓은 듯한 그 광경은 한순간 당신의 마음을 사로잡았다. 멍하니 밤하늘을 바라보고 있자 한구석에 있던 별똥별이 떨어지기 시작했다. 별을 발견한 당신은 재빨리 소원을 빌었다.,START,◈ 1.건강,◈ 2.돈,◈ 3.꿈,END,START,<밤하늘을 바라보았다-건강>,<밤하늘을 바라보았다-돈>,<밤하늘을 바라보았다-꿈>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,
<밤하늘을 바라보았다-건강>,당신은 앞으로 건강하게 모험을 할 수 있게 해달라고 빌었다. 건강이야말로 가장 큰 자산이라는 생각이 들었다. 다음 날 눈을 뜬 당신은 왠지 몸이 가벼워진 듯한 기분을 느끼며 모험을 떠났다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,STRENGTH,1,,,,
<밤하늘을 바라보았다-돈>,당신은 앞으로 돈을 많이 벌게 해달라고 빌었다. 돈이야말로 이 세상을 사는 데 있어 가장 중요한 것이란 생각이 들었다. 다음 날 눈을 뜬 당신은 길을 걷다 우연히 바닥에 떨어져 있던 돈을 주웠다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,10,1,50,FALSE,NULL,NONE,0,,,,
<밤하늘을 바라보았다-꿈>,당신은 꿈을 이룰 수 있게 도와달라고 빌었다. 꿈이야말로 이 모험을 이어가는 가장 큰 원동력이라는 생각이 들었다. 다음 날 눈을 뜬 당신은 소원을 빌었던 일을 떠올리며 다시 길을 나섰다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,1,50,FALSE,NULL,NONE,0,,,,
<나무가 빽빽이 우거진 정글>,당신은 풀과 나무가 빽빽이 우거진 정글을 거닐고 있었다. 그때 신비로운 분위기를 자아내는 여러 그루의 나무를 발견했다. 그 나무들은 아치형으로 서로 얽혀 다른 세계로 가는 입구처럼 보인다.,START,◈ 1. 얽힌 나무를 살펴본다,◈ 2. 입구로 들어간다,◈ 3. 다른 길로 간다.,END,START,<나무가 빽빽이 우거진 정글-얽힌 나무를 살펴본다>,<나무가 빽빽이 우거진 정글-입구로 들어간다>,<나무가 빽빽이 우거진 정글-다른 길로 간다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,
<나무가 빽빽이 우거진 정글-얽힌 나무를 살펴본다>,얽혀있는 나무에 글귀가 적혀 있었다\n'맞춰봐라. 나는 나뭇잎으로 된 머리칼을 지녔다.'\n이 앞에 숨겨져있는 무엇인가와 관련이 있는 퀴즈 같다.,START,◈ 1. 입구로 들어간다,◈ 2. 다른 길로 간다,END,START,<나무가 빽빽이 우거진 정글-입구로 들어간다>,<나무가 빽빽이 우거진 정글-다른 길로 간다>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,
<나무가 빽빽이 우거진 정글-입구로 들어간다>,당신은 알 수 없는 이끌림에 끌려 '입구'로 들어섰다. 길을 따라 한 시간 정도 걸어갔을 때 당신의 눈앞에 세 갈래 길이 나타났다. 왼쪽 갈림길의 입구에는 단풍나무 / 가운데 갈림길의 입구에는 물풀레나무 / 오른쪽 갈림길의 입구엔 떡갈나무가 있다.,START,◈ 1. 단풍나무 쪽으로,◈ 2. 물풀레나무 쪽으로,◈ 3. 떡갈나무 쪽으로,END,START,<나무가 빽빽이 우거진 정글-단풍나무 쪽으로>,<나무가 빽빽이 우거진 정글-물풀레나무 쪽으로>,<나무가 빽빽이 우거진 정글-떡갈나무 쪽으로>,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,
<나무가 빽빽이 우거진 정글-다른 길로 간다>,당신은 신비로운 입구를 무시하고 다른 길로 걸어갔다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<나무가 빽빽이 우거진 정글-단풍나무 쪽으로>,당신은 단풍나무가 있는 갈림길로 향했다. 한참을 걸어가니 누군가 킥킥대는 웃음소리가 들렸다. 그리고 어느새 숲의 밖으로 나오게 되었다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
<나무가 빽빽이 우거진 정글-물풀레나무 쪽으로>,당신은 물풀레나무가 있는 갈림길로 향했다. 한참을 걸어가니 누군가 킥킥대는 웃음소리가 들렸다. 그리고 어느새 숲의 밖으로 나오게 되었다.,START,◈ 모험 계속하기,END,START,RANDOM,END,ITEMSTART,ITEMEND,0,0,50,FALSE,NULL,NONE,0,,,,,
